"Time","Drag Coefficient Monitor: Drag Coefficient Monitor"
1.0,-1.182891163973847E-4
1.0,0.022876837593984827
1.0,0.006072957858285114
1.0,0.0012678986752929534
1.0,0.001612884512661144
1.0,0.0022470805030437376
1.0,0.0019800569844040656
1.0,0.001849704545025404
1.0,0.0015768299951913764
1.0,8.939686086160942E-4
1.0,-0.0011591535395892277
1.0,-3.7752954335846595E-4
1.0,-4.7185182579724136E-5
1.0,2.2513743389733062E-4
1.0,4.2115638470137016E-4
1.0,1.0350342662763735E-4
1.0,-2.958763304393537E-4
1.0,-1.2778181823131158E-4
1.0,2.235540345718204E-4
1.0,5.74757575425917E-4
1.0,6.47316789559585E-4
1.0,8.508307857177413E-4
1.0,8.327616833328851E-4
1.0,8.592148077946835E-4
1.0,5.784738077681082E-4
1.0,-0.001211075641763742
1.0,-0.0010213419036099582
1.0,-8.831393984485704E-4
1.0,-0.0010534030295317796
1.0,-0.0014510479034091214
1.0,-0.0016362181400207574
1.0,-0.0016527858314398936
1.0,-0.0015830481975480917
1.0,-0.001432489802379901
1.0,-0.0011273150817511055
1.0,-7.045265349370011E-4
1.0,-2.921662990390363E-4
1.0,1.0402270977525596E-5
1.0,1.755140314562963E-4
1.0,1.637935417026535E-4
1.0,1.506718256958774E-4
1.0,1.842700906760471E-4
1.0,2.333154400124268E-4
1.0,2.496451201441709E-4
1.0,2.2682927001624686E-4
1.0,1.591601592247782E-4
1.0,9.533041316634331E-5
1.0,7.319138272678846E-5
1.0,6.728448564874224E-5
1.0,3.52171109083911E-5
1.02,-9.978327809117658E-6
1.04,-1.3484247840476662E-5
1.06,-9.567111574545687E-5
1.08,-1.8601449947110935E-4
1.1,-1.4143383010708108E-4
1.12,4.8173132777088804E-5
1.1400000000000001,1.9373060754033323E-4
1.16,2.2936518116367698E-4
1.18,2.2244611191293435E-4
1.2,1.7732705782004743E-4
1.22,1.381091812496091E-4
1.24,1.9839734481508602E-4
1.26,2.261091794285453E-4
1.28,2.718028005331699E-4
1.3,3.081866078591651E-4
1.32,3.090517862994066E-4
1.34,2.6150812485968333E-4
1.3599999999999999,1.8664677114866156E-4
1.38,1.2052659304367022E-4
1.4,6.137597907794274E-5
1.42,1.3253123081507986E-5
1.44,-1.234621703708535E-5
1.46,4.538633801787093E-6
1.48,4.521729190295098E-5
1.5,9.172746795022314E-5
1.52,1.662832854415803E-4
1.54,2.0509787908286326E-4
1.56,1.8739946574019152E-4
1.58,1.4679287465648922E-4
1.6,1.106748769650824E-4
1.62,1.30050835918002E-4
1.6400000000000001,2.0614483510334226E-4
1.6600000000000001,2.958774045226953E-4
1.6800000000000002,3.6329487510918207E-4
1.7,3.729463895917409E-4
1.72,3.284218965423522E-4
1.74,2.2271971628904107E-4
1.76,6.283644180149814E-5
1.78,-8.866390147690059E-5
1.8,-1.8989551384231563E-4
1.8199999999999998,-2.2683183829994193E-4
1.8399999999999999,-2.06959919555412E-4
1.8599999999999999,-1.6117073844941512E-4
1.88,-1.220894781993189E-4
1.9,-1.0239536536653398E-4
1.92,-1.048337045397623E-4
1.94,-1.295661433560991E-4
1.96,-1.7089278264515177E-4
1.98,-2.3442380056538968E-4
2.0,-3.056608936564788E-4
2.02,-3.7510441286751114E-4
2.04,-4.351806981102089E-4
2.06,-4.916689789575836E-4
2.08,-5.291468160459514E-4
2.1,-5.346019502444002E-4
2.12,-5.051501095288506E-4
2.14,-4.4163571150368275E-4
2.16,-3.621370782673561E-4
2.18,-2.6962955465062514E-4
2.2,-1.9813202837652577E-4
2.22,-1.3978349592485014E-4
2.24,-9.240280833158452E-5
2.26,-5.472690398388454E-5
2.2800000000000002,-2.808028773765192E-5
2.3,-6.558023484776509E-6
2.32,1.4023303150427868E-5
2.34,3.2507340751851884E-5
2.36,4.9664018162149184E-5
2.38,6.058589467357262E-5
2.4,5.9179031532574305E-5
2.42,4.939404044561918E-5
2.44,3.337401554035338E-5
2.46,7.257128506961362E-6
2.48,-2.506159771804381E-5
2.5,-5.1507993782994305E-5
2.52,-6.289851294543272E-5
2.54,-5.815380145537397E-5
2.56,-5.0330357118681734E-5
2.58,-5.109516256018131E-5
2.6,-6.145483931082433E-5
2.62,-8.011607243966239E-5
2.64,-1.0180722474526429E-4
2.66,-1.2144927963540761E-4
2.68,-1.364808837592227E-4
2.7,-1.4485412061544122E-4
2.7199999999999998,-1.4510657526769377E-4
2.74,-1.3983943294988834E-4
2.76,-1.2954169054467905E-4
2.7800000000000002,-1.1394391513995548E-4
2.8,-9.666409079626338E-5
2.82,-7.851679196559788E-5
2.84,-6.298657493351151E-5
2.86,-5.108769982327963E-5
2.88,-4.675757646363685E-5
2.9,-5.026878073591563E-5
2.92,-6.282018136860015E-5
2.94,-8.501558777747763E-5
2.96,-1.1085743422305396E-4
2.98,-1.357301303211498E-4
3.0,-1.5468350200879106E-4
3.02,-1.631953570964332E-4
3.04,-1.4214309433623252E-4
3.06,-1.29967809647761E-4
3.08,-1.2888410031275624E-4
3.1,-1.1122410478038582E-4
3.12,-7.28545738175071E-5
