"Time","Lift Coefficient Monitor: Lift Coefficient Monitor"
1.0,-0.047585235550370975
1.0,-0.05353778901539633
1.0,-0.052702416027786005
1.0,-0.04931653078263459
1.0,-0.043160643635022936
1.0,-0.035260420421723754
1.0,-0.029869616692231416
1.0,-0.026803820382096333
1.0,-0.026130519207120336
1.0,-0.026963122252942198
1.0,-0.027574884006154033
1.0,-0.029445140189738452
1.0,-0.030615498658666106
1.0,-0.03087510164390465
1.0,-0.030671858057626615
1.0,-0.030148945780804126
1.0,-0.02918092027478839
1.0,-0.027790653472783287
1.0,-0.026513777697654152
1.0,-0.02540724382003532
1.0,-0.024732648106807552
1.0,-0.024623158758516776
1.0,-0.025324383371391167
1.0,-0.02618361235162128
1.0,-0.027231759200214867
1.0,-0.027913599763708375
1.0,-0.02807115101208631
1.0,-0.028770367498396662
1.0,-0.028993816982859293
1.0,-0.02943287501307804
1.0,-0.029489699534368106
1.0,-0.029411708209205866
1.0,-0.029299516754687675
1.0,-0.02931340891463595
1.0,-0.02942981913191092
1.0,-0.02950178748885286
1.0,-0.029598023896214735
1.0,-0.029618231605602407
1.0,-0.029576069095681345
1.0,-0.02940386567659632
1.0,-0.029243926437127574
1.0,-0.029213057110681166
1.0,-0.029264830646106157
1.0,-0.029361480679900236
1.0,-0.02950269415052902
1.0,-0.029611870662230814
1.0,-0.029668532144639454
1.0,-0.029643315870154414
1.0,-0.029488903088044405
1.0,-0.02927513473557688
1.02,-0.02910013077339952
1.04,-0.02764123256963978
1.06,-0.025103484427140547
1.08,-0.02097159151111447
1.1,-0.015461755900098394
1.12,-0.010194373975749477
1.1400000000000001,-0.006191494729481144
1.16,-0.004068992089258947
1.18,-0.0035673974971649714
1.2,-0.004124533561189592
1.22,-0.004812392876354056
1.24,-0.005121567893830603
1.26,-0.004869893760278447
1.28,-0.004463883152400907
1.3,-0.004063415060219322
1.32,-0.0038567825902518157
1.34,-0.003929557577472676
1.3599999999999999,-0.004319959892653545
1.38,-0.004903713204648194
1.4,-0.0056246532080962966
1.42,-0.006278442989626555
1.44,-0.006717291951228239
1.46,-0.006933067939151008
1.48,-0.007004542407946316
1.5,-0.006886223031344231
1.52,-0.006650862166068897
1.54,-0.006303225496235341
1.56,-0.005890559050712333
1.58,-0.0054910925103243925
1.6,-0.005119287960094502
1.62,-0.004769567565840181
1.6400000000000001,-0.0044682650593511454
1.6600000000000001,-0.004178205999992987
1.6800000000000002,-0.003821798251798607
1.7,-0.003294050222301068
1.72,-0.002578476358301471
1.74,-0.0016949137609656832
1.76,-7.159219385396465E-4
1.78,2.8374022716657265E-4
1.8,0.0011978738131189484
1.8199999999999998,0.0018879740170272886
1.8399999999999999,0.0022472641965857352
1.8599999999999999,0.002213805516776714
1.88,0.0017915350299636168
1.9,0.0010459985084102668
1.92,6.905732712575392E-5
1.94,-0.0010119050971193193
1.96,-0.0020662718147847954
1.98,-0.002994385368675924
2.0,-0.003723675212603721
2.02,-0.00423004976536643
2.04,-0.002488494639611387
2.06,9.133536868324726E-4
2.08,0.006359914910701816
2.1,0.013242185573250152
2.12,0.019931656738441536
2.14,0.024580161786689463
2.16,0.026161914686147203
2.18,0.024591295298428628
2.2,0.022138731097232984
2.22,0.020222584956818217
2.24,0.01950210795976137
2.26,0.019897991936772358
2.2800000000000002,0.020956312386474045
2.3,0.022184570995486767
2.32,0.023252124224055357
2.34,0.023994508472153273
2.36,0.024369647443560464
2.38,0.02441028065086653
2.4,0.02419596785625939
2.42,0.023833288866983483
2.44,0.023426568053006545
2.46,0.02306702955276147
2.48,0.022826681775404357
2.5,0.02274546122104259
2.52,0.022821084475329236
2.54,0.02301355980684634
2.56,0.02327396192120035
2.58,0.02354226584376931
2.6,0.023765189617405875
2.62,0.02389808174952933
2.64,0.023911153367156192
2.66,0.023803583837904877
2.68,0.023591225321877032
2.7,0.023316753191087915
2.7199999999999998,0.02303204474257288
2.74,0.02279666116632251
2.76,0.022647441872469247
2.7800000000000002,0.02259616004206624
2.8,0.02263326500941067
2.82,0.022740535768740838
2.84,0.022887984098338036
2.86,0.02304490617423036
2.88,0.023181895481099533
2.9,0.02327790808111255
2.92,0.023325167120235555
2.94,0.02332670537780122
2.96,0.023299035839440888
2.98,0.023263779179301603
3.0,0.023239703406386022
3.02,0.023237601583877568
3.04,0.025932776243454993
3.06,0.030409627674392
3.08,0.03698217893795015
3.1,0.0447964960841839
3.12,0.05198261116888676
3.14,0.05657841528382231
3.16,0.05769537895594075
3.18,0.055583368966203736
3.2,0.05286934840875408
3.22,0.051102917424837926
3.24,0.05082103141376768
3.26,0.05174723467785053
3.2800000000000002,0.05328682393072705
3.3,0.054891478074004005
3.32,0.05621119548258351
