"Iteration","Drag Coefficient Monitor: Drag Coefficient Monitor"
1.0,-2.1020073430339134E-8
2.0,-1.308703852367955E-4
3.0,-5.445250317898192E-5
4.0,-2.840190082673773E-5
5.0,-3.7768668131132915E-6
6.0,8.811910371245071E-6
7.0,3.1111905410845414E-6
8.0,-6.650960010673959E-5
10.0,-5.464201026749726E-4
11.0,-0.0010633254529472265
12.0,-0.0018105162399156527
13.0,-0.0028087485545251704
14.0,-0.004094619573575502
15.0,-0.005607263255067244
16.0,-0.007310599931181601
17.0,-0.009185513555673505
19.0,-0.01323412702781674
20.0,-0.01526146661382498
21.0,-0.017291726357344214
22.0,-0.019116948477337872
23.0,-0.0206903644237666
24.0,-0.022026788483529892
25.0,-0.023088098670803258
26.0,-0.023668761090812597
28.0,-0.023770056581526363
29.0,-0.023211228989964305
30.0,-0.02228784519700506
31.0,-0.02111221012282483
32.0,-0.02010568699051651
33.0,-0.018889198887539222
34.0,-0.01753128267904434
35.0,-0.015914962729433865
37.0,-0.01289069634281693
38.0,-0.01238967888268011
39.0,-0.01265397711710172
40.0,-0.011409959700682324
41.0,-0.008971235406760973
42.0,-0.001105983671242002
43.0,0.011275294828780567
44.0,0.026731370842407967
46.0,0.05440036117079821
47.0,0.06691413727807839
48.0,0.07770384721229409
49.0,0.08997863736524545
50.0,0.10256630685412246
51.0,0.1170389746858391
52.0,0.13350315308168054
53.0,0.15068531164304344
55.0,0.18406802113722417
56.0,0.19547314493058507
57.0,0.20532138866757868
58.0,0.22133792433328944
59.0,0.24580788257741773
60.0,0.2785796745885242
61.0,0.3128711674693686
62.0,0.34465943972436636
64.0,0.4089577467601184
65.0,0.4393462645192743
66.0,0.46271109373820396
67.0,0.4794035922144534
68.0,0.49000951842833623
69.0,0.4954902626375659
70.0,0.49182970908472723
71.0,0.4797464400164574
73.0,0.43875958172569823
74.0,0.4127241875273687
75.0,0.3824395682822598
76.0,0.34846357594688004
77.0,0.3113217068666377
78.0,0.2705481726999687
79.0,0.22679776610326227
80.0,0.17984933794195163
82.0,0.06758323856875505
83.0,0.001585105917493612
84.0,-0.06400953312107041
85.0,-0.12370253295775847
86.0,-0.17105948603642362
87.0,-0.20417784582921747
88.0,-0.2223184106683704
89.0,-0.2268806021867972
91.0,-0.1941611791657083
92.0,-0.16216458444878176
93.0,-0.11067921168964652
94.0,-0.03370237134702694
95.0,0.05372308153940805
96.0,0.14509555521561948
97.0,0.23765296808162117
98.0,0.3228536848644444
100.0,0.4386285573619335
101.0,0.4654143840073694
102.0,0.46458831215821117
103.0,0.4396199839728443
104.0,0.4003666581573016
105.0,0.35510819938139965
106.0,0.3054240724946154
108.0,0.21228865842178915
109.0,0.16986629110712403
110.0,0.12849555891059702
111.0,0.08719739177302376
112.0,0.04410718241984532
113.0,-0.0020740577980604344
114.0,-0.048031446298747754
115.0,-0.0933644421063337
117.0,-0.17482526325006295
118.0,-0.21008085070344082
119.0,-0.24184072478364077
120.0,-0.2698698686111902
121.0,-0.2931612700703416
122.0,-0.31037599751552897
123.0,-0.32119978956208306
124.0,-0.32719933120983874
126.0,-0.33193153472250014
127.0,-0.331936167868539
128.0,-0.33337547813545365
