Phi,O/F,Tc,Tt,Te,Rho_exit,H (kJ/kg),U (kJ/kg),Molar Mass,Cp_exit,Gamma_exit,SonicVel,Mach_exit,Ae/At,C*,CF,Ivac,Isp,Ar,CH4,CO,CO2,H,H2,H2O,NH3,NO,NO2,N2,O,OH,O2,Ivac(sec),Isp(sec)
0.75,45.72,1993.9,1766.96,642.3,4.85E-01,-2153.95,-2362.73,25.58,1.2566,1.3489,530,3.733,12.081,1221.1,1.6224,2086.6,1981.2,8.09E-03,0.00E+00,0.00E+00,2.76E-04,0.00E+00,7.54E-18,2.72E-01,0.00E+00,2.95E-08,3.67E-08,6.75E-01,1.57E-18,3.65E-12,4.53E-02,212.7013252,201.9571865
0.76,45.12661,2010.47,1782.47,649.79,4.79E-01,-2177.17,-2388.7,25.541,1.2615,1.3478,533.9,3.731,12.11,1227.5,1.623,2098.5,1992.3,8.08E-03,0.00E+00,0.00E+00,2.75E-04,0.00E+00,1.32E-17,2.75E-01,0.00E+00,3.52E-08,3.77E-08,6.74E-01,2.64E-18,5.12E-12,4.34E-02,213.9143731,203.088685
0.77,44.54055,2026.92,1797.87,657.25,4.73E-01,-2200.34,-2414.62,25.502,1.2664,1.3467,537.2,3.729,12.138,1233.8,1.6236,2110.2,2003.3,8.06E-03,0.00E+00,0.00E+00,2.75E-04,0.00E+00,2.29E-17,2.78E-01,0.00E+00,4.16E-08,3.86E-08,6.72E-01,4.37E-18,7.12E-12,4.15E-02,215.1070336,204.2099898
0.78,43.96952,2043.25,1813.16,664.7,4.67E-01,-2223.45,-2440.5,25.463,1.2714,1.3456,540.4,3.727,12.166,1240.1,1.6243,2121.9,2014.2,8.05E-03,0.00E+00,0.00E+00,2.74E-04,0.00E+00,3.92E-17,2.81E-01,0.00E+00,4.90E-08,3.94E-08,6.71E-01,7.15E-18,9.82E-12,3.96E-02,216.2996942,205.3211009
0.79,43.41294,2059.45,1828.35,672.12,4.61E-01,-2246.52,-2466.32,25.425,1.2763,1.3445,543.6,3.725,12.193,1246.3,1.6248,2133.5,2025,8.04E-03,0.00E+00,0.00E+00,2.74E-04,0.00E+00,6.63E-17,2.84E-01,0.00E+00,5.74E-08,4.01E-08,6.70E-01,1.15E-17,1.31E-11,3.77E-02,217.4821611,206.4220183
0.8,42.87028,2075.54,1843.44,679.53,4.55E-01,-2269.54,-2492.1,25.386,1.2813,1.3434,546.8,3.723,12.221,1252.4,1.6254,2145,2035.7,8.02E-03,0.00E+00,0.00E+00,2.73E-04,0.00E+00,1.11E-16,2.87E-01,0.00E+00,6.68E-08,4.06E-08,6.69E-01,1.84E-17,1.82E-11,3.59E-02,218.6544343,207.5127421
0.81,42.34102,2091.52,1858.42,686.91,4.50E-01,-2292.52,-2517.83,25.348,1.2863,1.3423,549.9,3.721,12.248,1258.5,1.626,2156.5,2046.4,8.01E-03,0.00E+00,0.00E+00,2.73E-04,0.00E+00,1.84E-16,2.90E-01,0.00E+00,7.73E-08,4.10E-08,6.67E-01,2.89E-17,2.45E-11,3.40E-02,219.8267074,208.6034659
0.82,41.82467,2107.39,1873.31,694.28,4.44E-01,-2315.44,-2543.52,25.31,1.2912,1.3412,553.1,3.719,12.275,1264.6,1.6266,2167.8,2057,7.99E-03,0.00E+00,0.00E+00,2.72E-04,0.00E+00,3.01E-16,2.93E-01,0.00E+00,8.90E-08,4.12E-08,6.66E-01,4.48E-17,3.27E-11,3.22E-02,220.9785933,209.6839959
0.83,41.32075,2123.14,1888.1,701.62,4.39E-01,-2338.32,-2569.15,25.272,1.2963,1.3401,556.2,3.717,12.302,1270.6,1.6272,2179.1,2067.5,7.98E-03,0.00E+00,0.00E+00,2.72E-04,0.00E+00,4.89E-16,2.96E-01,0.00E+00,1.02E-07,4.12E-08,6.65E-01,6.86E-17,4.32E-11,3.03E-02,222.1304791,210.7543323
0.84,40.82884,2138.79,1902.79,708.94,4.34E-01,-2361.15,-2594.74,25.234,1.3013,1.3391,559.3,3.715,12.329,1276.6,1.6277,2190.3,2077.9,7.96E-03,0.00E+00,0.00E+00,2.71E-04,0.00E+00,7.87E-16,2.99E-01,0.00E+00,1.16E-07,4.10E-08,6.64E-01,1.04E-16,5.68E-11,2.85E-02,223.2721713,211.814475
