"Time","Drag Coefficient Monitor: Drag Coefficient Monitor"
1.0,-1.8238689347721817E-4
1.0,0.006264168212125622
1.0,0.0016267757506608373
1.0,3.7363079473752477E-4
1.0,8.960570559970432E-4
1.0,8.013745601555604E-4
1.0,3.391060031758486E-4
1.0,8.601773204803611E-5
1.0,2.6324472442363436E-5
1.0,1.835639522534782E-5
1.0,1.2705493759365308E-5
1.0,1.7830559164254277E-5
1.0,3.1947084310663856E-5
1.0,4.339366417478398E-5
1.0,4.9543124039165166E-5
1.0,5.056999117056551E-5
1.0,4.7347661778928694E-5
1.0,4.070368442358613E-5
1.0,3.2410936957979833E-5
1.0,2.391582937332262E-5
1.0,1.7985715660739174E-5
1.0,1.5421714740840698E-5
1.0,1.667138177153941E-5
1.0,2.0067161280568723E-5
1.0,2.444378701210213E-5
1.0,2.7876760019092605E-5
1.0,3.0285397223632353E-5
1.0,3.086657297207411E-5
1.0,3.034616449719362E-5
1.0,2.856393245031006E-5
1.0,2.646555292868201E-5
1.0,2.4143637322355025E-5
1.0,2.2459850760632115E-5
1.0,2.1032381326334906E-5
1.0,2.0245813382064095E-5
1.0,1.945881460690712E-5
1.0,1.905280258662321E-5
1.0,1.839680974361027E-5
1.0,1.795685777705228E-5
1.0,1.7238744617845115E-5
1.0,1.672339414580572E-5
1.0,1.591320834441881E-5
1.0,1.530260515363716E-5
1.0,1.4415234741456433E-5
1.0,1.378718813385886E-5
1.0,1.2961470155526395E-5
1.0,1.2467262198328119E-5
1.0,1.1807640343340399E-5
1.0,1.1507802527552849E-5
1.0,1.1068235374173678E-5
1.02,1.0934818396092855E-5
1.04,6.200224494996185E-6
1.06,2.007316745243E-6
1.08,-4.840288920749413E-6
1.1,-1.073290685343176E-5
1.12,-1.5527582522506024E-5
1.1400000000000001,-1.5305720289591166E-5
1.16,-1.0562811014587202E-5
1.18,-3.4346679498607278E-6
1.2,5.505084267926317E-6
1.22,6.574601183351679E-6
1.24,2.5752494955603995E-6
1.26,-2.276141574968059E-6
1.28,-6.254214282409997E-6
1.3,-8.134748080765948E-6
1.32,-8.827215859829953E-6
1.34,-8.58621558520059E-6
1.3599999999999999,-8.517517828143415E-6
1.38,-8.195575099727621E-6
1.4,-8.161624318573202E-6
1.42,-7.961696533498794E-6
1.44,-8.037308111182719E-6
1.46,-8.060376777370628E-6
1.48,-8.555303995180818E-6
1.5,-9.009984856808126E-6
1.52,-9.786263771754638E-6
1.54,-1.0271030781132841E-5
1.56,-1.0830062481891309E-5
1.58,-1.092298156362601E-5
1.6,-1.1050915491551533E-5
1.62,-1.0803965481220383E-5
1.6400000000000001,-1.0747121576892412E-5
1.6600000000000001,-1.049477491908744E-5
1.6800000000000002,-1.0529873365205445E-5
1.7,-1.0374573655668572E-5
1.72,-1.0455038941636525E-5
1.74,-1.0284127519153116E-5
1.76,-1.0290754771554813E-5
1.78,-1.0010666193187977E-5
1.8,-9.90175528823427E-6
1.8199999999999998,-9.569970310795246E-6
1.8399999999999999,-9.456512649120734E-6
1.8599999999999999,-9.185099659459544E-6
1.88,-9.152776410457349E-6
1.9,-8.962456576540804E-6
1.92,-8.991413764575124E-6
1.94,-8.84103768528629E-6
1.96,-8.854704720942218E-6
1.98,-8.687179361366417E-6
2.0,-8.688854514227333E-6
2.02,-8.534763579978969E-6
2.04,-1.1791940548651598E-5
2.06,-1.2501114861873391E-5
2.08,-1.4450651793786084E-5
2.1,-1.3259235247922428E-5
2.12,-1.1354934632765362E-5
2.14,-8.230490105609214E-6
2.16,-2.3063061880610104E-6
2.18,4.1038722963362866E-6
2.2,1.1776958241025927E-5
2.22,1.3619078198728681E-5
2.24,1.1616466661042667E-5
2.26,8.537156008871774E-6
2.2800000000000002,6.1820537821863844E-6
2.3,5.428492467317317E-6
2.32,5.956522734549787E-6
2.34,7.197506335345993E-6
2.36,8.145733958001225E-6
2.38,8.682487550883647E-6
2.4,8.645888157608388E-6
2.42,8.384077366690712E-6
2.44,7.846458311715828E-6
2.46,7.4703415046018365E-6
2.48,7.086264250879993E-6
2.5,6.941255634256022E-6
2.52,6.8070168777565846E-6
2.54,6.851516202913853E-6
2.56,6.817261429774529E-6
2.58,6.857057184445039E-6
2.6,6.75723336542445E-6
2.62,6.696022060020299E-6
2.64,6.513585856100884E-6
2.66,6.3777699865610496E-6
2.68,6.165262147125506E-6
2.7,6.029933026281604E-6
2.7199999999999998,5.843716388290319E-6
2.74,5.738319021603881E-6
2.76,5.584873796203526E-6
2.7800000000000002,5.4967548321064865E-6
2.8,5.363859049222674E-6
2.82,5.281890800446562E-6
2.84,5.157081365323902E-6
2.86,5.065355896709488E-6
2.88,4.938924682191225E-6
2.9,4.840733474288877E-6
2.92,4.724445497508773E-6
2.94,4.634121191082635E-6
2.96,4.528888120938336E-6
2.98,4.442596858431046E-6
3.0,4.347028416412211E-6
3.02,4.264508832430092E-6
3.04,5.1917178900703E-6
3.06,-2.1909154044073725E-6
3.08,-1.1480616031487586E-5
3.1,-1.3519976774760719E-5
3.12,-8.465089420122424E-6
3.14,5.545010241607362E-7
3.16,9.400176391318254E-6
3.18,1.8203207235419094E-5
3.2,2.0138782044368506E-5
3.22,1.8028897662282313E-5
3.24,1.4296933430212315E-5
3.26,1.0743588039365452E-5
3.2800000000000002,8.728436168954233E-6
3.3,8.532638813150165E-6
3.32,9.377584780082993E-6
3.34,1.0419664791089583E-5
3.36,1.1130285143253685E-5
3.38,1.1195256667362338E-5
3.4,1.0761492797700996E-5
3.42,1.0025680451513738E-5
3.44,9.255886289274058E-6
3.46,8.591894019585506E-6
3.48,8.105266460660585E-6
3.5,7.783794121186349E-6
3.52,7.561248577806806E-6
3.54,7.389932648841613E-6
3.56,7.229114896493134E-6
3.58,7.056933398609916E-6
3.6,6.851660133207352E-6
3.62,6.625050614245298E-6
3.64,6.389707327113257E-6
3.66,6.1509094983693735E-6
3.68,5.918156646455937E-6
3.7,5.722231869425406E-6
3.7199999999999998,5.560608949125599E-6
3.74,5.4258469415123725E-6
3.76,5.319118979166938E-6
3.7800000000000002,5.23934603637774E-6
3.8,5.18096980889904E-6
3.82,5.1253976212174535E-6
3.84,5.0790772180513306E-6
3.86,5.035881208745261E-6
3.88,4.994614821147825E-6
3.9,4.953036971760718E-6
3.92,4.907675116768749E-6
3.94,4.873743688629655E-6
3.96,4.843573082236909E-6
3.98,4.805462483208077E-6
4.0,4.769137204443514E-6
4.02,4.737232908461974E-6
4.04,-7.938710438594162E-7
4.06,-9.76715926468046E-6
4.08,-1.5214465485154184E-5
4.1,-1.1357845997491252E-5
4.12,-6.586903703198904E-6
4.14,-8.019797983883744E-7
4.16,6.434016901723256E-6
4.18,1.5918441694076766E-5
4.2,1.9262216198906105E-5
4.22,1.804227262096173E-5
4.24,1.4000274452827572E-5
4.26,9.589025782006452E-6
4.28,6.679374186569774E-6
4.3,5.8152217500663135E-6
4.32,6.4324904571766015E-6
4.34,7.565654398215409E-6
4.36,8.411595546611525E-6
4.38,8.626473028684007E-6
4.4,8.23156384355548E-6
4.42,7.445277837763327E-6
4.44,6.556497999668278E-6
4.46,5.7520712235583004E-6
4.48,5.173211172259594E-6
4.5,4.840594151401828E-6
4.52,4.681864563135689E-6
4.54,4.636627628942988E-6
4.5600000000000005,4.618913883277818E-6
4.58,4.58775767699894E-6
4.6,4.528285882918156E-6
4.62,4.446776431839964E-6
4.64,4.348109827266311E-6
4.66,4.2675156367837695E-6
4.68,4.21743774373842E-6
4.7,4.1950123588584245E-6
4.72,4.206166385058873E-6
4.74,4.2464860281452726E-6
4.76,4.300070465297869E-6
4.78,4.3521878166999095E-6
4.8,4.398603556778028E-6
4.82,4.444325097215591E-6
4.84,4.485808671148396E-6
4.86,4.514792556557312E-6
4.88,4.544039863461781E-6
4.9,4.578342050734688E-6
4.92,4.612381423247816E-6
4.9399999999999995,4.633940625238249E-6
4.96,4.643350080366336E-6
4.98,4.654769489024907E-6
5.0,4.660568833416125E-6
5.02,4.661904070481765E-6
5.04,7.930446725402508E-6
5.06,-5.997788737909967E-7
5.08,-7.695973478739512E-6
5.1,-9.036194643923307E-6
5.12,-8.895310893682152E-6
5.14,-5.226894631837759E-6
5.16,1.956430905173079E-7
5.18,9.859731182910762E-6
5.2,1.4454043603801573E-5
5.22,1.4844699580006698E-5
5.24,1.1946406425600918E-5
5.26,7.658933704620718E-6
5.28,3.935376734022597E-6
5.3,1.917992825089334E-6
5.32,1.5082735567927024E-6
5.34,2.010495804202435E-6
5.36,2.6780960218039026E-6
5.38,3.054647348326457E-6
5.4,3.0252575450362082E-6
5.42,2.6777163475822364E-6
5.44,2.218667946951926E-6
5.46,1.7928159307056966E-6
5.48,1.5224231501764505E-6
5.5,1.4766968614389775E-6
5.52,1.6018751330677194E-6
5.54,1.8408473659305318E-6
5.5600000000000005,2.115905956948335E-6
5.58,2.398028355187875E-6
5.6,2.646423717461219E-6
5.62,2.8451482060714653E-6
5.64,2.9887262628836667E-6
5.66,3.10380821393405E-6
5.68,3.2086238226912825E-6
5.7,3.307942937987714E-6
5.72,3.402309869349128E-6
5.74,3.4888653514343724E-6
5.76,3.562231698816965E-6
5.78,3.639348825989055E-6
5.8,3.7062979300263727E-6
5.82,3.7680921616651367E-6
5.84,3.811106436232438E-6
5.86,3.849086583222093E-6
5.88,3.8912808210882855E-6
5.9,3.935156464719801E-6
5.92,3.9805279361550375E-6
5.9399999999999995,4.02793621699474E-6
5.96,4.071418259429094E-6
5.98,4.113779277680836E-6
6.0,4.15431443137006E-6
6.02,4.1886057228986505E-6
6.04,1.799923855453938E-6
6.06,-9.557838304930617E-6
6.08,-1.794270556279011E-5
6.1,-1.5844495532077007E-5
6.12,-8.24879240901161E-6
6.14,6.570372408055407E-7
6.16,7.60108705257232E-6
6.18,1.4954688190553261E-5
6.2,1.6499802276828615E-5
6.22,1.4473198525630922E-5
6.24,1.0320504690101847E-5
6.26,5.968496094332352E-6
6.28,3.0284702105984987E-6
6.3,2.0336283773896278E-6
6.32,2.357457543671901E-6
6.34,3.150964154478168E-6
6.36,3.7854162026334446E-6
6.38,3.90230030359141E-6
6.4,3.554925988073845E-6
6.42,2.9316996458585574E-6
6.44,2.2278011376271875E-6
6.46,1.5772623197186354E-6
6.48,1.1055967732126371E-6
6.5,8.456157430202045E-7
6.52,7.28267502914982E-7
6.54,6.704954253333461E-7
6.5600000000000005,6.344481758669323E-7
6.58,5.857477584305737E-7
6.6,5.053204000832247E-7
6.62,3.9212679789035114E-7
6.64,2.5956154739476826E-7
6.66,1.235427122163024E-7
6.68,-7.437289757334254E-9
6.7,-1.3725648420355234E-7
6.72,-2.4883330371609293E-7
6.74,-3.38786022896749E-7
6.76,-4.0466245801767847E-7
6.78,-4.637075950715056E-7
6.8,-5.196740288123719E-7
